"server_site","server_ip","city","country_name","country_code","latitude","longitude","total_testes","clientes_unicos"
"mcp1916","200.129.167.51","Manaus","Brazil","BR",0.050664,-51.0722,124,116
"bel1916","2001:12f0:d80:1::10","Belém","Brazil","BR",-1.37925,-48.4763,99,98
"rbr1916","200.139.7.149","Santarém","Brazil","BR",-9.86889,-67.8981,90,17
"for1916","2001:12f0:780:99ff::112","Fortaleza","Brazil","BR",-3.77628,-38.5326,75,74
"lim02","200.123.196.37","Lima",,"PE",-12.0219,-77.1143,62,52
"lim01","8.243.113.229","Lima",,"PE",-12.0219,-77.1143,56,44
"lim01","8.243.113.216","Lima",,"PE",-12.0219,-77.1143,48,39
"lim01","8.243.113.203","Lima",,"PE",-12.0219,-77.1143,48,39
"lim02","200.123.196.24","Lima",,"PE",-12.0219,-77.1143,46,38
"lim02","200.123.196.11","Lima",,"PE",-12.0219,-77.1143,45,40
"rbr1916","2001:12f0:e00:1010::149","Macapá","Brazil","BR",-9.86889,-67.8981,39,39
"bel1916","200.129.149.10","Belém","Brazil","BR",-1.37925,-48.4763,33,31
"for1916","200.129.0.112","Fortaleza","Brazil","BR",-3.77628,-38.5326,24,22
"fra174","2001:978:2:76::cf","Paris","France","FR",50.0333,8.57056,23,20
"oma396982","10.128.0.2","Council Bluffs","United States","US",41.3032,-95.8941,21,11
"rbr1916","200.139.7.149","Macapá","Brazil","BR",-9.86889,-67.8981,18,17
"fra04","2001:4c08:2003:40::203","Frankfurt",,"DE",50.0333,8.57056,10,9
"fra04","2001:4c08:2003:40::229","Frankfurt",,"DE",50.0333,8.57056,10,9
"hel396982","10.166.0.5","Lappeenranta","Finland","FI",60.3172,24.9633,10,1
"fra03","2001:5001:200:30::75","Frankfurt",,"DE",50.0333,8.57056,7,5
"fra04","2001:4c08:2003:40::216","Frankfurt",,"DE",50.0333,8.57056,6,6
"fra03","2001:5001:200:30::101","Frankfurt",,"DE",50.0333,8.57056,6,5
"ams396982","10.164.0.2","Groningen","The Netherlands","NL",52.3086,4.76389,5,5
"ams15830","2604:1380:4601:7500::1","Amsterdam","The Netherlands","NL",52.3086,4.76389,5,5
"hnd63770","219.100.92.234",,"Japan","JP",35.5533,139.781,3,3
"ind23372","207.174.80.149",,"United States","US",39.7173,-86.2944,3,2
"lga05","4.35.94.11","New York",,"US",40.775,-73.875,3,1
"jnb01","196.24.45.152","Johannesburg",,"ZA",-26.1392,28.246,3,1
"fra03","2001:5001:200:30::88","Frankfurt",,"DE",50.0333,8.57056,3,3
"syd396982","10.152.0.3","Sydney","Australia","AU",-33.9461,151.177,2,1
"syd15830","147.75.48.145","Sydney","Australia","AU",-33.9461,151.177,2,2
"ams05","2001:5002:100:21::11","Amsterdam",,"NL",52.3086,4.76389,2,2
"mia04","173.205.3.152","Miami",,"US",25.7932,-80.2906,2,2
"ham02","2001:2030:0:19::216","Hamburg",,"DE",53.6304,9.98823,2,2
"iad02","38.90.140.165","Washington",,"US",38.9445,-77.4558,2,2
"iad04","173.205.4.37","Washington",,"US",38.9445,-77.4558,2,2
"ams15830","147.75.204.129","Amsterdam","The Netherlands","NL",52.3086,4.76389,2,1
"lga05","4.35.94.37","New York",,"US",40.775,-73.875,2,1
"lga05","4.35.94.24","New York",,"US",40.775,-73.875,2,1
"cia202870","2a07:7e87::1:6","Rome","Italy","IT",41.7991,12.5929,2,1
"lax06","38.98.51.11","Los Angeles",,"US",33.9425,-118.408,2,2
"mia05","128.177.109.37","Miami",,"US",25.7932,-80.2906,1,1
"syd03","203.5.76.165","Sydney",,"AU",-33.9461,151.177,1,1
"mia04","173.205.3.139","Miami",,"US",25.7932,-80.2906,1,1
"scl01","8.243.188.216","Santiago",,"CL",-33.3928,-70.7856,1,1
"ams05","2001:5002:100:21::37","Amsterdam",,"NL",52.3086,4.76389,1,1
"dfw03","4.15.35.165","Dallas",,"US",32.8968,-97.038,1,1
"dub01","193.1.12.229","Dublin",,"IE",53.4213,-6.27007,1,1
"fra396982","10.156.0.2","Frankfurt am Main","Germany","DE",50.0333,8.57056,1,1
"lhr04","195.89.146.37","London",,"GB",51.4775,-0.461389,1,1
"nuq08","192.158.252.181","San Francisco Bay Area",,"US",37.4161,-122.049,1,1
"mad04","77.67.115.101","Madrid",,"ES",40.4719,-3.56264,1,1
"yul03","76.74.83.229","Montreal",,"CA",45.4657,-73.7455,1,1
"par05","195.89.147.216","Paris",,"FR",49.0097,2.54778,1,1
"sea03","173.205.3.37","Seattle",,"US",47.449,-122.309,1,1
"svg01","81.167.39.11","Stavanger",,"NO",58.8767,5.63778,1,1
"cia202870","130.78.57.47","Rome","Italy","IT",41.7991,12.5929,1,1
"prg05","195.89.147.88","Prague",,"CZ",50.1008,14.26,1,1
"svg01","81.167.39.37","Stavanger",,"NO",58.8767,5.63778,1,1
"lga04","2001:668:1f:22::75","New York",,"US",40.775,-73.875,1,1
"lga08","2001:550:1d00:100::152","New York",,"US",40.775,-73.875,1,1
"yyz06","38.111.126.75","Toronto",,"CA",43.6797,-79.6227,1,1
"lax06","38.98.51.37","Los Angeles",,"US",33.9425,-118.408,1,1
"scl396982","10.194.0.2","Santiago","Chile","CL",-33.3928,-70.7856,1,1
"scl01","8.243.188.203","Santiago",,"CL",-33.3928,-70.7856,1,1
"waw03","10.33.0.103","Warsaw",,"PL",52.1657,20.9671,1,1
"iad396982","10.150.0.2","Washington","United States","US",38.9445,-77.4558,1,1
"mia04","2001:668:1f:1f::139","Miami",,"US",25.7932,-80.2906,1,1
"lga06","128.177.119.229","New York",,"US",40.775,-73.875,1,1
"lga06","128.177.119.203","New York",,"US",40.775,-73.875,1,1
"lga04","173.205.4.101","New York",,"US",40.775,-73.875,1,1
"lga04","173.205.4.75","New York",,"US",40.775,-73.875,1,1
"arn03","213.242.86.75","Stockholm",,"SE",59.6519,17.9186,1,1
"del04","2405:203:9c0:1::101","New Delhi",,"IN",28.5665,77.1031,1,1
"mia05","128.177.109.24","Miami",,"US",25.7932,-80.2906,1,1
"prg03","2001:2030:31::165","Prague",,"CZ",50.1008,14.26,1,1
"nuq06","2001:438:fffd:2d::139","San Francisco Bay Area",,"US",37.4161,-122.049,1,1
"nuq08","2001:4f8:ffff:3::181","San Francisco Bay Area",,"US",37.4161,-122.049,1,1
"yul03","76.74.83.216","Montreal",,"CA",45.4657,-73.7455,1,1
"hel03","10.17.0.101","Helsinki",,"FI",60.3172,24.9633,1,1
"lis02","195.89.147.139","Lisbon",,"PT",38.7813,-9.13592,1,1
"lis03","162.213.98.24","Lisbon",,"PT",38.7813,-9.13592,1,1
"lis01","213.242.96.216","Lisbon",,"PT",38.7813,-9.13592,1,1
"lga04","173.205.4.88","New York",,"US",40.775,-73.875,1,1
"mrs04","162.213.98.203","Marseille",,"FR",43.4393,5.22142,1,1
