"cidade","provedor","rtt_mediana","testes"
"Poços de Caldas","Telefônica",19.5,282
"Pouso Alegre","Telefônica",19.5,190
"Betim","Claro",19.5,58
"Lençóis Paulista","Claro",19.5,456
"Itajubá","Telefônica",19.5,25
"Caldas Novas","Telefônica",19.5,4
"Itabira","Claro",19.5,100
"Rio de Janeiro","Gigalink",19.5,3
"Pederneiras","Telefônica",19.5,10
"Araruama","Telefônica",19.5,43
"Armação dos Búzios","Telefônica",19.5,6
"São João del Rei","Telefônica",19.5,45
"Parati","Telefônica",19.5,5
"Valinhos","Claro",19.75,419
"Cabo Frio","Claro",19.75,109
"Pinhais","Telefônica",19.75,256
"Guarujá","Claro",19.75,1238
"São José dos Campos","Claro",19.875,3382
"Ribeirão Preto","Claro",19.875,3500
"Volta Redonda","Claro",19.875,212
"Joinville","Telefônica",19.875,1245
"São Caetano do Sul","Claro",19.875,1435
"Campo Limpo Paulista","Telefônica",19.875,112
"Rio de Janeiro","Claro",19.96875,19335
"Gravataí","Telefônica",20.0,21
"Augusto Pestana","Telefônica",20.0,3
"Luziânia","Telefônica",20.0,5
"Mafra","Telefônica",20.0,8
"Paraguaçu Paulista","Telefônica",20.0,61
"Leopoldina","Telefônica",20.0,4
"Paranavaí","Telefônica",20.0,39
"Campo Largo","Claro",20.0,4
"Ibaté","Claro",20.0,2
"São Francisco do Sul","Claro",20.0,16
"Brusque","Telefônica",20.0,3
"Ouro Preto","Claro",20.0,1
"São José do Rio Preto","Claro",20.5,1167
"Nova Lima","Claro",20.5,260
"Paranaguá","Claro",20.5,286
"Salto","Claro",20.5,3461
"Capivari","Claro",20.5,192
"Sertãozinho","Claro",20.5,179
"Divinópolis","Claro",20.5,236
"Cerquilho","Claro",20.5,245
"Lagoa da Prata","Telefônica",20.5,9
"Conselheiro Lafaiete","Claro",20.5,59
"Alfenas","Telefônica",20.5,174
"Lavras","Telefônica",20.5,8
"Arcos","Claro",20.5,7
"Mandaguaçu","Claro",20.75,130
"Nova Friburgo","Claro",20.75,48
"Resende","Claro",20.75,94
"Itatiba","Claro",20.75,25
"Flores da Cunha","Telefônica",21.0,2
"Rio do Sul","Telefônica",21.0,2
"São Marcos","Claro",21.0,2
"Tambaú","Claro",21.0,1
"Ibirubá","Claro",21.0,1
"Valença","Telefônica",21.0,1
"Goiânia","Telefônica",21.5,1182
"Cambé","Claro",21.5,287
"Nova Lima","Telefônica",21.5,80
"Alvorada","Telefônica",21.5,13
"Jaú","Claro",21.5,97
"Rio das Ostras","Claro",21.5,24
"Três Rios","Telefônica",21.5,13
"Ilicínea","Telefônica",21.5,14
"Biguaçu","Telefônica",21.5,17
"Campinas","Claro",21.875,10678
"Pindamonhangaba","Claro",21.875,278
"Campo Largo","Telefônica",21.875,94
"Patos de Minas","Telefônica",22.0,67
