"server_ip","city","country_name","country_code","latitude","longitude"
"173.205.3.139","Miami",,"US",25.7932,-80.2906
"2001:668:1f:1f::139","Miami",,"US",25.7932,-80.2906
"128.177.109.24","Miami",,"US",25.7932,-80.2906
"2001:668:1f:1f::152","Miami",,"US",25.7932,-80.2906
"162.213.100.88","Milan",,"IT",45.4494,9.2783
"2600:1901:8110:97b:8000:1::","Milan",,"IT",45.4494,9.2783
"195.89.147.24","Milan",,"IT",45.4494,9.2783
"201.174.163.203","Monterrey",,"MX",25.7785,-100.107
"201.174.163.216","Monterrey",,"MX",25.7785,-100.107
"201.174.163.229","Monterrey",,"MX",25.7785,-100.107
"38.129.52.152","Montreal",,"CA",45.4657,-73.7455
"76.74.83.203","Montreal",,"CA",45.4657,-73.7455
"38.129.52.139","Montreal",,"CA",45.4657,-73.7455
"2001:668:1f:ffa3::203","Montreal",,"CA",45.4657,-73.7455
"2001:550:600::165","Montreal",,"CA",45.4657,-73.7455
"2001:550:600::139","Montreal",,"CA",45.4657,-73.7455
"2001:668:1f:ffa3::229","Montreal",,"CA",45.4657,-73.7455
"2001:668:1f:ffa3::216","Montreal",,"CA",45.4657,-73.7455
"2001:550:600::152","Montreal",,"CA",45.4657,-73.7455
"76.74.83.229","Montreal",,"CA",45.4657,-73.7455
"76.74.83.216","Montreal",,"CA",45.4657,-73.7455
"14.143.58.152","Mumbai",,"IN",19.0887,72.8679
"49.45.151.24","Mumbai",,"IN",19.0887,72.8679
"34.100.217.193","Mumbai",,"IN",19.0887,72.8679
"49.45.151.11","Mumbai",,"IN",19.0887,72.8679
"14.143.58.139","Mumbai",,"IN",19.0887,72.8679
"14.143.58.165","Mumbai",,"IN",19.0887,72.8679
"49.45.151.101","New Delhi",,"IN",28.5665,77.1031
"61.246.223.11","New Delhi",,"IN",28.5665,77.1031
"61.246.223.37","New Delhi",,"IN",28.5665,77.1031
"61.246.223.24","New Delhi",,"IN",28.5665,77.1031
"10.16.0.77","New Delhi",,"IN",28.5665,77.1031
"49.45.151.88","New Delhi",,"IN",28.5665,77.1031
"2405:203:9c0:1::101","New Delhi",,"IN",28.5665,77.1031
"2001:1900:2100:14::11","New York",,"US",40.775,-73.875
"2001:668:1f:22::101","New York",,"US",40.775,-73.875
"38.106.70.152","New York",,"US",40.775,-73.875
"2001:668:1f:22::88","New York",,"US",40.775,-73.875
"128.177.119.203","New York",,"US",40.775,-73.875
"38.106.70.139","New York",,"US",40.775,-73.875
"4.35.94.24","New York",,"US",40.775,-73.875
"2001:550:1d00:100::165","New York",,"US",40.775,-73.875
"173.205.4.88","New York",,"US",40.775,-73.875
"38.106.70.165","New York",,"US",40.775,-73.875
"2001:1900:2100:14::24","New York",,"US",40.775,-73.875
"128.177.119.216","New York",,"US",40.775,-73.875
"2001:550:1d00:100::139","New York",,"US",40.775,-73.875
"173.205.4.101","New York",,"US",40.775,-73.875
"2001:668:1f:22::75","New York",,"US",40.775,-73.875
"2001:550:1d00:100::152","New York",,"US",40.775,-73.875
"4.35.94.11","New York",,"US",40.775,-73.875
"128.177.119.229","New York",,"US",40.775,-73.875
"173.205.4.75","New York",,"US",40.775,-73.875
"4.35.94.37","New York",,"US",40.775,-73.875
"34.45.23.160","Omaha",,"US",41.3032,-95.8941
"10.3.0.94","Omaha",,"US",41.3032,-95.8941
"2600:1900:41d0:8f23:8000:1::","Osaka",,"JP",34.4305,135.23
"34.155.249.189","Paris",,"FR",49.0097,2.54778
"195.89.147.229","Paris",,"FR",49.0097,2.54778
"195.89.147.216","Paris",,"FR",49.0097,2.54778
"195.89.147.203","Paris",,"FR",49.0097,2.54778
"213.149.127.37","Podgorica",,"ME",42.3594,19.2519
"2a00:fe80:0:104::24","Podgorica",,"ME",42.3594,19.2519
"80.239.156.165","Prague",,"CZ",50.1008,14.26
"2001:668:1f:60::139","Prague",,"CZ",50.1008,14.26
"195.89.147.101","Prague",,"CZ",50.1008,14.26
"195.89.147.88","Prague",,"CZ",50.1008,14.26
"2001:2030:31::165","Prague",,"CZ",50.1008,14.26
"66.110.32.88","San Francisco Bay Area",,"US",37.4161,-122.049
"38.102.163.139","San Francisco Bay Area",,"US",37.4161,-122.049
"66.110.32.101","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:5a0:3e00::75","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:5a0:3e00::101","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:4f8:ffff:3::181","San Francisco Bay Area",,"US",37.4161,-122.049
"192.158.252.181","San Francisco Bay Area",,"US",37.4161,-122.049
"128.177.109.165","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:550:1502::165","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:5a0:3e00::88","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:438:fffd:2d::139","San Francisco Bay Area",,"US",37.4161,-122.049
"2001:1900:2261:1709::216","Santiago",,"CL",-33.3928,-70.7856
"8.243.188.216","Santiago",,"CL",-33.3928,-70.7856
"8.243.188.229","Santiago",,"CL",-33.3928,-70.7856
"2001:1900:2261:1709::229","Santiago",,"CL",-33.3928,-70.7856
"2001:1900:2261:1709::203","Santiago",,"CL",-33.3928,-70.7856
"8.243.188.203","Santiago",,"CL",-33.3928,-70.7856
"2600:1900:40f0:7602:8000::","Sao Paulo",,"BR",-23.4322,-46.4692
"34.151.250.148","Sao Paulo",,"BR",-23.4322,-46.4692
"34.151.250.148","Sao Paulo",,"BR",-23.4322,-46.4692
"2600:1900:40f0:7602:8000::","Sao Paulo",,"BR",-23.4322,-46.4692
